execution_id,classification_time,load_time,reduce_time,transform_time,reduce_on,classifier,reducer,transforms,number runs,reducer_datasets,train_datasets,test_datasets,sensors used,scaler,umap components,accuracy (mean),accuracy (std),f1-score macro (mean),f1-score macro (std),f1-score micro (mean),f1-score micro (std),f1-score weighted (mean),f1-score weighted (std)
001823,2.4442026615142822,3.825133800506592,59.13959884643555,0.5764999389648438,all,svm,umap-5-all,with_fft_all.0,5,"motionsense.train, motionsense.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",minmax_scaler,5,0.8625235404896422,0.0,0.8620815809725688,1.1102230246251565e-16,0.8625235404896422,0.0,0.8620815809725688,0.0
001266,6.624573707580566,3.8013486862182617,104.52690196037292,0.47516918182373047,all,randomforest-100,umap-4-all,with_fft_all.0,5,"uci.train, uci.validation","motionsense.train, motionsense.validation",motionsense.test,"gyro-x, gyro-y, gyro-z",no_scaler,4,0.6958568738229756,0.002729072833557331,0.6866833958831541,0.0029993106152751024,0.6958568738229756,0.002729072833557331,0.6866833958831542,0.0029993106152751687
002921,4.639587163925171,3.9447946548461914,103.83419275283813,0.0637965202331543,all,randomforest-100,umap-8-all,no_transform.0,5,"motionsense.train, motionsense.validation","kuhar.train, kuhar.validation",kuhar.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",minmax_scaler,8,0.5361111111111112,0.0183207027198235,0.5176154461139769,0.0195622935764884,0.5361111111111112,0.0183207027198235,0.517615446113977,0.019562293576488442
004006,4.707442998886108,4.4570417404174805,131.63300347328186,0.042458295822143555,all,svm,umap-10-all,no_transform.0,5,"kuhar.train, kuhar.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",std_scaler,10,0.6252354048964218,0.0,0.6172853906219474,0.0,0.6252354048964218,0.0,0.6172853906219475,0.0
004825,0.48362278938293457,3.875971794128418,126.17505025863647,0.43499207496643066,all,knn-5,umap-15-all,with_fft_all.0,5,"kuhar.train, kuhar.validation","motionsense.train, motionsense.validation",motionsense.test,"gyro-x, gyro-y, gyro-z",std_scaler,15,0.7382297551789078,0.0,0.7311111409991257,0.0,0.7382297551789078,0.0,0.7311111409991256,0.0
003273,6.638695955276489,4.739264249801636,158.46587681770325,2.349107265472412,all,svm,umap-8-all,with_fft_all.0,5,"uci.train, uci.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",no_scaler,8,0.7184557438794726,0.0,0.7069025684862421,0.0,0.7184557438794726,0.0,0.7069025684862422,0.0
002615,0.19431757926940918,4.566103219985962,126.71561193466187,0.031697988510131836,all,knn-5,umap-7-all,no_transform.0,5,"motionsense.train, motionsense.validation","kuhar.train, kuhar.validation",kuhar.test,"gyro-x, gyro-y, gyro-z",minmax_scaler,7,0.6527777777777778,0.0,0.6523022438344553,0.0,0.6527777777777778,0.0,0.6523022438344553,0.0
005314,0.7603826522827148,4.648012161254883,110.72855734825134,0.9719772338867188,all,knn-5,umap-20-all,with_fft_all.0,5,"motionsense.train, motionsense.validation","motionsense.train, motionsense.validation",motionsense.test,"gyro-x, gyro-y, gyro-z",std_scaler,20,0.8361581920903955,1.1102230246251565e-16,0.8352108736535617,1.1102230246251565e-16,0.8361581920903955,1.1102230246251565e-16,0.835210873653562,0.0
004081,0.6424472332000732,7.146470546722412,70.66074752807617,0.14575982093811035,all,knn-5,umap-10-all,no_transform.0,5,"motionsense.train, motionsense.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",std_scaler,10,0.6694915254237288,0.0,0.6622065942943377,0.0,0.6694915254237288,0.0,0.6622065942943376,0.0
004742,4.890746831893921,3.670530319213867,153.06281208992004,0.5016288757324219,all,svm,umap-15-all,with_fft_all.0,5,"uci.train, uci.validation","motionsense.train, motionsense.validation",motionsense.test,"accel-x, accel-y, accel-z",minmax_scaler,15,0.7410546139359698,0.0,0.7354604762541886,0.0,0.7410546139359698,0.0,0.7354604762541885,0.0
